name,appid,developer,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,genre,tags
Dota 2,570,Valve,Valve,1227842,227571,"100,000,000 .. 200,000,000",35561,1561,1150,704,0,0,0,386883,"Action, Free to Play, Strategy","{'Free to Play': 57698, 'MOBA': 19129, 'Multiplayer': 14357, 'Strategy': 13433, 'e-sports': 10861, 'Team-Based': 10290, 'Competitive': 7658, 'Action': 7481, 'Online Co-Op': 6946, 'PvP': 5494, 'Difficult': 4858, 'Co-op': 3875, 'RTS': 3758, 'Tower Defense': 3451, 'Fantasy': 3407, 'RPG': 3402, 'Character Customization': 2633, 'Replay Value': 2540, 'Action RPG': 2214, 'Simulation': 1750}"
Counter-Strike: Global Offensive,730,"Valve, Hidden Path Entertainment",Valve,4669021,630083,"50,000,000 .. 100,000,000",27752,914,7825,386,0,0,0,665705,"Action, Free to Play","{'FPS': 85880, 'Shooter': 61498, 'Multiplayer': 58792, 'Competitive': 50343, 'Action': 45039, 'Team-Based': 43979, 'e-sports': 40703, 'Tactical': 39216, 'First-Person': 37256, 'PvP': 32520, 'Online Co-Op': 32223, 'Co-op': 28765, 'Strategy': 28651, 'Military': 27359, 'War': 26809, 'Difficult': 24944, 'Trading': 24488, 'Realistic': 24311, 'Fast-Paced': 24297, 'Moddable': 5620}"
Team Fortress 2,440,Valve,Valve,710587,44619,"50,000,000 .. 100,000,000",8167,1453,386,315,0,0,0,92804,"Action, Free to Play","{'Free to Play': 60771, 'Hero Shooter': 60284, 'Multiplayer': 21362, 'FPS': 14234, 'Shooter': 11583, 'Action': 11173, 'Class-Based': 8724, 'Team-Based': 8334, 'Funny': 8173, 'First-Person': 7004, 'Online Co-Op': 6560, 'Cartoony': 6454, 'Competitive': 6448, 'Trading': 6257, 'Co-op': 5186, 'Comedy': 4618, 'Robots': 4114, 'Tactical': 3537, 'Cartoon': 3436, 'Crafting': 3309}"
PLAYERUNKNOWN'S BATTLEGROUNDS,578080,"KRAFTON, Inc.","KRAFTON, Inc.",896178,764225,"50,000,000 .. 100,000,000",24205,684,11413,169,2999,2999,0,269866,"Action, Adventure, Massively Multiplayer","{'Survival': 13079, 'Shooter': 10896, 'Multiplayer': 9475, 'Battle Royale': 8895, 'FPS': 7145, 'PvP': 6885, 'Third-Person Shooter': 6352, 'Action': 5297, 'Online Co-Op': 4709, 'Tactical': 4428, 'Co-op': 3754, 'First-Person': 3498, 'Strategy': 2715, 'Early Access': 2611, 'Competitive': 1895, 'Third Person': 1843, 'Team-Based': 1654, 'Difficult': 1391, 'Simulation': 1062, 'Stealth': 955}"
Unturned,304930,Smartly Dressed Games,Smartly Dressed Games,382989,36911,"20,000,000 .. 50,000,000",4738,1472,327,237,0,0,0,24326,"Action, Adventure, Casual, Free to Play, Indie","{'Free to Play': 35860, 'Survival': 15594, 'Zombies': 14623, 'Open World Survival Craft': 14309, 'Multiplayer': 13735, 'Open World': 12283, 'Adventure': 9278, 'Crafting': 8915, 'Action': 7855, 'First-Person': 7573, 'Co-op': 7251, 'Sandbox': 6722, 'Shooter': 6482, 'Post-apocalyptic': 6355, 'FPS': 5713, 'Singleplayer': 5368, 'Massively Multiplayer': 4324, 'Indie': 4112, 'Casual': 3679, 'Atmospheric': 3627}"
Warframe,230410,Digital Extremes,Digital Extremes,371706,38139,"20,000,000 .. 50,000,000",7540,1336,375,506,0,0,0,38794,"Action, Free to Play","{'Free to Play': 14475, 'Looter Shooter': 14298, 'Action': 7943, 'Co-op': 7107, 'Multiplayer': 7037, 'Third-Person Shooter': 6308, 'Sci-fi': 5594, 'Ninja': 5107, 'Shooter': 4918, 'Parkour': 4480, 'Space': 4334, 'Online Co-Op': 4147, 'Futuristic': 3136, 'Third Person': 3124, 'Massively Multiplayer': 2964, 'PvE': 2867, 'RPG': 2449, 'Hack and Slash': 2152, 'Singleplayer': 2019, 'FPS': 1749}"
Terraria,105600,Re-Logic,Re-Logic,674399,14329,"10,000,000 .. 20,000,000",6517,741,1708,149,999,999,0,35156,"Action, Adventure, Indie, RPG","{'Open World Survival Craft': 13877, 'Sandbox': 13685, 'Survival': 10455, '2D': 10117, 'Multiplayer': 9752, 'Adventure': 9688, 'Crafting': 8966, 'Building': 8370, 'Pixel Graphics': 8194, 'Exploration': 7250, 'Co-op': 6244, 'Open World': 6036, 'Indie': 4900, 'Online Co-Op': 4694, 'Action': 4652, 'RPG': 4155, 'Singleplayer': 4062, 'Platformer': 3304, 'Replay Value': 3290, 'Atmospheric': 2780}"
Left 4 Dead 2,550,Valve,Valve,450843,12751,"20,000,000 .. 50,000,000",2841,596,533,117,999,999,0,13040,Action,"{'Zombies': 19990, 'Co-op': 10360, 'FPS': 9295, 'Multiplayer': 8392, 'Shooter': 6433, 'Action': 6198, 'Online Co-Op': 6045, 'Survival': 5035, 'Horror': 4592, 'First-Person': 4093, 'Gore': 3733, 'Team-Based': 3194, 'Moddable': 2588, 'Survival Horror': 2585, 'Post-apocalyptic': 2527, 'Singleplayer': 2039, 'Adventure': 1907, 'Local Co-Op': 1816, 'Replay Value': 1795, 'Tactical': 1758}"
Tom Clancy's Rainbow Six Siege,359550,Ubisoft Montreal,Ubisoft,753186,101359,"20,000,000 .. 50,000,000",12579,631,2686,339,1999,1999,0,62871,Action,"{'FPS': 8807, 'Hero Shooter': 8531, 'Multiplayer': 6799, 'Tactical': 6180, 'Shooter': 5851, 'Team-Based': 5076, 'Action': 4478, 'First-Person': 4329, 'Competitive': 3529, 'Co-op': 3463, 'Strategy': 3419, 'Realistic': 3024, 'Online Co-Op': 2862, 'Destruction': 2681, 'Psychological Horror': 1644, 'Physics': 1632, 'Atmospheric': 1430, 'Singleplayer': 1293, 'Massively Multiplayer': 1291, 'Casual': 1101}"
Grand Theft Auto V,271590,Rockstar North,Rockstar Games,845966,188471,"20,000,000 .. 50,000,000",12241,645,5742,163,0,0,0,107345,"Action, Adventure","{'Open World': 28629, 'Action': 21017, 'Multiplayer': 19203, 'Automobile Sim': 17389, 'Crime': 16901, 'Third Person': 16855, 'First-Person': 16665, 'Shooter': 13053, 'Adventure': 12218, 'Mature': 11313, 'Singleplayer': 10886, 'Third-Person Shooter': 10724, 'Racing': 10351, 'Atmospheric': 9034, 'Co-op': 9012, 'Sandbox': 8843, 'Funny': 8274, 'Great Soundtrack': 7809, 'Comedy': 7604, 'Moddable': 5290}"
